experiment,task,task_group,latent,metric,score
exp0_same_input,city_id,common,z_common,accuracy,
exp0_same_input,city_id,common,z_common,macro_f1,
exp0_same_input,city_id,common,z_specific,accuracy,
exp0_same_input,city_id,common,z_specific,macro_f1,
exp0_same_input,store_id,common,z_common,accuracy,
exp0_same_input,store_id,common,z_common,macro_f1,
exp0_same_input,store_id,common,z_specific,accuracy,
exp0_same_input,store_id,common,z_specific,macro_f1,
exp0_same_input,first_category_id,common,z_common,accuracy,0.29917229507006676
exp0_same_input,first_category_id,common,z_common,macro_f1,0.08882762088856601
exp0_same_input,first_category_id,common,z_specific,accuracy,0.3460908830976046
exp0_same_input,first_category_id,common,z_specific,macro_f1,0.08746289848752177
exp0_same_input,holiday_flag,common,z_common,accuracy,0.9291273024108184
exp0_same_input,holiday_flag,common,z_common,macro_f1,0.9237666759611156
exp0_same_input,holiday_flag,common,z_common,roc_auc,0.9880915993079092
exp0_same_input,holiday_flag,common,z_specific,accuracy,0.688129908340605
exp0_same_input,holiday_flag,common,z_specific,macro_f1,0.49032147891579114
exp0_same_input,holiday_flag,common,z_specific,roc_auc,0.9909865006049342
exp0_same_input,next_direction,specific,z_common,accuracy,0.5743889990948134
exp0_same_input,next_direction,specific,z_common,macro_f1,0.5073406659141143
exp0_same_input,next_direction,specific,z_common,roc_auc,0.5963285240446092
exp0_same_input,next_direction,specific,z_specific,accuracy,0.5936556943047323
exp0_same_input,next_direction,specific,z_specific,macro_f1,0.5654600274713308
exp0_same_input,next_direction,specific,z_specific,roc_auc,0.6148496653222809
exp0_same_input,recent_volatility_high,specific,z_common,accuracy,0.7680678045448956
exp0_same_input,recent_volatility_high,specific,z_common,macro_f1,0.5235297715627274
exp0_same_input,recent_volatility_high,specific,z_common,roc_auc,0.6783973452296478
exp0_same_input,recent_volatility_high,specific,z_specific,accuracy,0.774930036933388
exp0_same_input,recent_volatility_high,specific,z_specific,macro_f1,0.6471920862587343
exp0_same_input,recent_volatility_high,specific,z_specific,roc_auc,0.6864694308057698
exp0_same_input,discount,specific,z_common,accuracy,0.812964167354322
exp0_same_input,discount,specific,z_common,macro_f1,0.8101796200447267
exp0_same_input,discount,specific,z_common,roc_auc,0.9029956146757431
exp0_same_input,discount,specific,z_specific,accuracy,0.7715626245372216
exp0_same_input,discount,specific,z_specific,macro_f1,0.7712695949314176
exp0_same_input,discount,specific,z_specific,roc_auc,0.8535962374350637
exp0_same_input,activity_flag,specific,z_common,accuracy,0.7875656112083129
exp0_same_input,activity_flag,specific,z_common,macro_f1,0.7290802034743828
exp0_same_input,activity_flag,specific,z_common,roc_auc,0.9863201871690364
exp0_same_input,activity_flag,specific,z_specific,accuracy,0.8827213077352707
exp0_same_input,activity_flag,specific,z_specific,macro_f1,0.8638617889853986
exp0_same_input,activity_flag,specific,z_specific,roc_auc,0.98902649865876
exp1_role_split,city_id,common,z_common,accuracy,
exp1_role_split,city_id,common,z_common,macro_f1,
exp1_role_split,city_id,common,z_specific,accuracy,
exp1_role_split,city_id,common,z_specific,macro_f1,
