subset,condition,seed,wape,wpe,mae,mean_error,residual_std,diff_corr
high_volatility,common_only,42,0.395650,-0.051228,0.501359,-0.064915,1.016520,-0.045721
low_volatility,common_only,42,0.456310,-0.074095,0.474333,-0.077022,0.871894,0.111081
all,common_only,42,0.428731,-0.059505,0.425139,-0.059007,0.804599,-0.346280
high_volatility,specific_only,42,0.394702,-0.033262,0.500158,-0.042149,1.000264,-0.041416
low_volatility,specific_only,42,0.457784,-0.057001,0.475866,-0.059253,0.863454,0.114301
all,specific_only,42,0.430972,-0.040346,0.427361,-0.040008,0.796435,-0.345167
high_volatility,both,42,0.390643,-0.032190,0.495015,-0.040790,1.009836,-0.043286
low_volatility,both,42,0.452675,-0.063278,0.470555,-0.065778,0.867696,0.112240
all,both,42,0.424912,-0.047640,0.421352,-0.047241,0.800017,-0.347639
high_volatility,common_only,52,0.392494,-0.033022,0.497360,-0.041845,1.010743,-0.039316
low_volatility,common_only,52,0.454135,-0.071255,0.472072,-0.074069,0.870198,0.113641
all,common_only,52,0.426636,-0.050725,0.423061,-0.050300,0.801773,-0.345534
high_volatility,specific_only,52,0.390804,-0.046975,0.495219,-0.059525,0.998189,-0.045208
low_volatility,specific_only,52,0.453910,-0.060998,0.471839,-0.063408,0.861538,0.108799
all,specific_only,52,0.426010,-0.048742,0.422441,-0.048334,0.793578,-0.350667
high_volatility,both,52,0.390551,-0.038687,0.494899,-0.049023,1.006003,-0.045600
low_volatility,both,52,0.452017,-0.071600,0.469871,-0.074428,0.866550,0.110636
all,both,52,0.424544,-0.052254,0.420987,-0.051817,0.798130,-0.350510
high_volatility,common_only,62,0.390764,-0.039924,0.495169,-0.050591,1.003618,-0.040843
low_volatility,common_only,62,0.452517,-0.067477,0.470391,-0.070142,0.864893,0.110614
all,common_only,62,0.424909,-0.051073,0.421349,-0.050645,0.796600,-0.350166
high_volatility,specific_only,62,0.394161,-0.056530,0.499473,-0.071634,1.003056,-0.047696
low_volatility,specific_only,62,0.457220,-0.068147,0.475279,-0.070839,0.866084,0.107018
all,specific_only,62,0.429419,-0.054695,0.425821,-0.054237,0.797728,-0.351452
high_volatility,both,62,0.390570,-0.036571,0.494923,-0.046342,1.005747,-0.042792
low_volatility,both,62,0.452687,-0.064027,0.470568,-0.066556,0.865828,0.111841
all,both,62,0.425128,-0.049010,0.421566,-0.048600,0.797910,-0.349402
