experiment,seed,probe_task,latent,accuracy
baseline_s9_exp1,42,stock_status_binary,z_common,0.565020
baseline_s9_exp1,42,stock_status_binary,z_specific,0.568229
baseline_s9_exp1,52,stock_status_binary,z_common,0.566204
baseline_s9_exp1,52,stock_status_binary,z_specific,0.568790
baseline_s9_exp1,62,stock_status_binary,z_common,0.562705
baseline_s9_exp1,62,stock_status_binary,z_specific,0.569825
exp16a_specific_stock_cnt_only,42,stock_status_binary,z_common,0.552306
exp16a_specific_stock_cnt_only,42,stock_status_binary,z_specific,0.624780
exp16a_specific_stock_cnt_only,52,stock_status_binary,z_common,0.563902
exp16a_specific_stock_cnt_only,52,stock_status_binary,z_specific,0.620185
exp16a_specific_stock_cnt_only,62,stock_status_binary,z_common,0.566305
exp16a_specific_stock_cnt_only,62,stock_status_binary,z_specific,0.626260
exp16b_specific_stock_both,42,stock_status_binary,z_common,0.544962
exp16b_specific_stock_both,42,stock_status_binary,z_specific,0.628995
exp16b_specific_stock_both,52,stock_status_binary,z_common,0.561519
exp16b_specific_stock_both,52,stock_status_binary,z_specific,0.640334
exp16b_specific_stock_both,62,stock_status_binary,z_common,0.560905
exp16b_specific_stock_both,62,stock_status_binary,z_specific,0.628394
exp16c_common_stock_both,42,stock_status_binary,z_common,0.572958
exp16c_common_stock_both,42,stock_status_binary,z_specific,0.568496
exp16c_common_stock_both,52,stock_status_binary,z_common,0.592922
exp16c_common_stock_both,52,stock_status_binary,z_specific,0.569044
exp16c_common_stock_both,62,stock_status_binary,z_common,0.613619
exp16c_common_stock_both,62,stock_status_binary,z_specific,0.569032
